Passengers,Entry Time,Passenger Origin,Passenger Destination
1,2009-01-01 09:06:37,V,U
2,2009-01-01 09:07:03,H,F
3,2009-01-01 09:08:17,G,M
4,2009-01-01 09:08:59,Q,P
5,2009-01-01 09:10:56,E,A
6,2009-01-01 09:12:10,H,E
7,2009-01-01 09:12:57,X,O
8,2009-01-01 09:12:59,U,Y
9,2009-01-01 09:13:04,H,F
10,2009-01-01 09:15:35,H,C
11,2009-01-01 09:15:36,O,X
12,2009-01-01 09:16:20,I,D
13,2009-01-01 09:16:57,X,F
14,2009-01-01 09:17:52,X,K
15,2009-01-01 09:18:16,V,T
16,2009-01-01 09:18:29,K,C
17,2009-01-01 09:19:14,I,Q
18,2009-01-01 09:20:08,L,B
19,2009-01-01 09:20:31,D,U
20,2009-01-01 09:20:34,E,C
21,2009-01-01 09:21:47,S,I
22,2009-01-01 09:22:02,J,W
23,2009-01-01 09:23:34,X,L
24,2009-01-01 09:25:54,C,S
25,2009-01-01 09:26:25,T,D
26,2009-01-01 09:26:42,P,C
27,2009-01-01 09:28:10,T,G
28,2009-01-01 09:28:36,P,R
29,2009-01-01 09:29:35,M,T
30,2009-01-01 09:29:53,C,M
31,2009-01-01 09:31:43,P,T
32,2009-01-01 09:33:05,Y,L
33,2009-01-01 09:33:14,T,N
34,2009-01-01 09:34:09,X,U
35,2009-01-01 09:35:43,W,D
36,2009-01-01 09:37:52,F,G
37,2009-01-01 09:38:41,K,M
38,2009-01-01 09:40:39,F,K
39,2009-01-01 09:41:39,F,M
40,2009-01-01 09:43:40,A,W
41,2009-01-01 09:44:01,L,C
42,2009-01-01 09:44:09,H,M
43,2009-01-01 09:44:10,O,K
44,2009-01-01 09:44:19,A,T
45,2009-01-01 09:44:38,O,J
46,2009-01-01 09:49:08,A,S
47,2009-01-01 09:50:12,U,C
48,2009-01-01 09:51:36,B,L
49,2009-01-01 09:53:52,Q,I
50,2009-01-01 09:56:02,C,R
51,2009-01-01 09:58:31,I,S
52,2009-01-01 10:01:43,L,D
53,2009-01-01 10:02:36,T,Q
54,2009-01-01 10:04:08,M,Y
55,2009-01-01 10:05:22,Q,C
56,2009-01-01 10:07:21,R,W
57,2009-01-01 10:10:09,E,Y
58,2009-01-01 10:12:57,H,M
59,2009-01-01 10:13:28,P,H
60,2009-01-01 10:13:53,R,N
61,2009-01-01 10:15:17,S,W
62,2009-01-01 10:19:30,Q,J
63,2009-01-01 10:20:06,Y,A
64,2009-01-01 10:21:48,W,F
65,2009-01-01 10:21:51,Y,T
66,2009-01-01 10:22:35,D,X
67,2009-01-01 10:24:05,R,O
68,2009-01-01 10:24:07,L,V
69,2009-01-01 10:24:22,Q,M
70,2009-01-01 10:25:08,V,C
71,2009-01-01 10:26:51,L,H
72,2009-01-01 10:28:00,U,E
73,2009-01-01 10:29:57,U,V
74,2009-01-01 10:32:08,A,B
75,2009-01-01 10:33:08,R,Q
76,2009-01-01 10:33:30,O,R
77,2009-01-01 10:34:28,R,I
78,2009-01-01 10:37:41,Y,X
79,2009-01-01 10:43:05,F,M
80,2009-01-01 10:44:02,F,I
81,2009-01-01 10:44:19,N,O
82,2009-01-01 10:44:37,Y,N
83,2009-01-01 10:44:54,G,A
84,2009-01-01 10:46:55,Q,D
85,2009-01-01 10:46:57,A,J
86,2009-01-01 10:49:44,G,H
87,2009-01-01 10:50:14,X,Q
88,2009-01-01 10:53:38,J,L
89,2009-01-01 10:58:31,S,G
90,2009-01-01 11:01:22,H,U
91,2009-01-01 11:02:18,H,B
92,2009-01-01 11:05:01,J,M
93,2009-01-01 11:07:27,O,L
94,2009-01-01 11:09:21,T,A
95,2009-01-01 11:11:56,E,Y
96,2009-01-01 11:13:20,I,S
97,2009-01-01 11:13:57,S,M
98,2009-01-01 11:14:53,L,E
99,2009-01-01 11:15:03,E,F
100,2009-01-01 11:17:54,M,N
101,2009-01-01 11:21:21,P,T
102,2009-01-01 11:24:00,J,X
103,2009-01-01 11:25:11,V,F
104,2009-01-01 11:26:43,S,H
105,2009-01-01 11:27:22,U,C
106,2009-01-01 11:27:48,J,I
107,2009-01-01 11:28:45,T,N
108,2009-01-01 11:32:46,M,K
109,2009-01-01 11:32:53,M,I
110,2009-01-01 11:33:03,O,Y
111,2009-01-01 11:36:52,M,R
112,2009-01-01 11:38:59,L,Q
113,2009-01-01 11:40:41,P,O
114,2009-01-01 11:40:46,U,I
115,2009-01-01 11:41:00,B,L
116,2009-01-01 11:42:00,H,K
117,2009-01-01 11:42:44,I,D
118,2009-01-01 11:43:01,D,R
119,2009-01-01 11:46:05,C,K
120,2009-01-01 11:48:24,J,T
121,2009-01-01 11:52:31,G,J
122,2009-01-01 11:53:23,M,K
123,2009-01-01 11:57:59,R,F
124,2009-01-01 11:58:27,C,W
125,2009-01-01 12:01:16,H,A
126,2009-01-01 12:01:18,B,N
127,2009-01-01 12:08:22,L,V
128,2009-01-01 12:09:54,B,X
129,2009-01-01 12:13:29,L,F
130,2009-01-01 12:14:08,I,F
131,2009-01-01 12:14:16,Y,Q
132,2009-01-01 12:14:27,G,D
133,2009-01-01 12:16:30,D,Y
134,2009-01-01 12:16:47,B,O
135,2009-01-01 12:18:04,V,A
136,2009-01-01 12:18:23,T,E
137,2009-01-01 12:20:28,B,X
138,2009-01-01 12:21:46,G,X
139,2009-01-01 12:22:37,J,W
140,2009-01-01 12:23:59,D,B
141,2009-01-01 12:24:52,V,D
142,2009-01-01 12:25:18,B,X
143,2009-01-01 12:26:14,S,D
144,2009-01-01 12:26:49,R,B
145,2009-01-01 12:32:01,D,W
146,2009-01-01 12:32:07,T,U
147,2009-01-01 12:32:40,B,V
148,2009-01-01 12:33:25,P,C
149,2009-01-01 12:34:53,X,M
150,2009-01-01 12:38:54,S,R
151,2009-01-01 12:38:56,N,M
152,2009-01-01 12:40:47,D,P
153,2009-01-01 12:40:50,V,S
154,2009-01-01 12:43:37,U,L
155,2009-01-01 12:44:34,I,F
156,2009-01-01 12:45:11,N,C
157,2009-01-01 12:48:29,C,W
158,2009-01-01 12:53:11,I,R
159,2009-01-01 12:56:06,C,V
160,2009-01-01 12:57:35,H,R
161,2009-01-01 12:58:07,P,H
162,2009-01-01 12:58:46,T,U
163,2009-01-01 13:02:41,N,M
164,2009-01-01 13:02:49,M,L
165,2009-01-01 13:02:52,L,T
166,2009-01-01 13:03:38,S,A
167,2009-01-01 13:07:22,I,H
168,2009-01-01 13:08:20,K,X
169,2009-01-01 13:09:17,W,H
170,2009-01-01 13:09:41,U,F
171,2009-01-01 13:10:08,F,Y
172,2009-01-01 13:13:16,A,C
173,2009-01-01 13:15:07,F,A
174,2009-01-01 13:15:21,M,E
175,2009-01-01 13:17:08,H,Y
176,2009-01-01 13:17:39,F,E
177,2009-01-01 13:19:47,D,K
178,2009-01-01 13:20:09,H,C
179,2009-01-01 13:21:42,V,Q
180,2009-01-01 13:22:37,F,D
181,2009-01-01 13:24:02,L,U
182,2009-01-01 13:27:44,W,J
183,2009-01-01 13:28:25,K,Q
184,2009-01-01 13:29:51,T,D
185,2009-01-01 13:29:51,M,L
186,2009-01-01 13:30:02,O,N
187,2009-01-01 13:31:48,Q,F
188,2009-01-01 13:33:39,A,N
189,2009-01-01 13:34:01,B,U
190,2009-01-01 13:36:01,H,L
191,2009-01-01 13:36:59,D,F
192,2009-01-01 13:38:10,A,M
193,2009-01-01 13:39:32,Y,K
194,2009-01-01 13:39:40,X,S
195,2009-01-01 13:44:25,U,I
196,2009-01-01 13:44:50,M,I
197,2009-01-01 13:46:31,R,Q
198,2009-01-01 13:47:09,C,B
199,2009-01-01 13:47:53,E,G
200,2009-01-01 13:50:46,I,T
201,2009-01-01 13:54:05,A,F
202,2009-01-01 13:56:27,Q,O
203,2009-01-01 13:58:15,R,Y
204,2009-01-01 14:00:58,N,A
205,2009-01-01 14:02:55,I,F
206,2009-01-01 14:09:53,D,O
207,2009-01-01 14:11:31,X,A
208,2009-01-01 14:14:38,B,L
209,2009-01-01 14:15:29,Q,X
210,2009-01-01 14:15:47,W,S
211,2009-01-01 14:17:25,T,A
212,2009-01-01 14:18:01,U,W
213,2009-01-01 14:18:32,B,C
214,2009-01-01 14:22:10,V,P
215,2009-01-01 14:22:55,R,P
216,2009-01-01 14:23:05,Y,H
217,2009-01-01 14:25:15,E,D
218,2009-01-01 14:26:15,F,W
219,2009-01-01 14:26:22,B,M
220,2009-01-01 14:27:59,U,R
221,2009-01-01 14:30:22,I,X
222,2009-01-01 14:30:55,R,V
223,2009-01-01 14:34:42,O,K
224,2009-01-01 14:34:45,E,Q
225,2009-01-01 14:37:20,M,Q
226,2009-01-01 14:38:27,O,Y
227,2009-01-01 14:40:33,G,K
228,2009-01-01 14:41:15,B,D
229,2009-01-01 14:42:17,Q,Y
230,2009-01-01 14:43:54,T,G
231,2009-01-01 14:44:04,D,R
232,2009-01-01 14:46:03,K,A
233,2009-01-01 14:47:44,Y,V
234,2009-01-01 14:49:31,B,H
235,2009-01-01 14:51:44,F,K
236,2009-01-01 14:52:04,C,L
237,2009-01-01 14:52:27,T,Q
238,2009-01-01 14:52:33,I,A
239,2009-01-01 14:52:52,P,U
240,2009-01-01 14:53:32,S,H
241,2009-01-01 14:54:08,R,X
242,2009-01-01 14:54:57,N,T
243,2009-01-01 14:55:25,O,N
244,2009-01-01 14:58:48,U,C
245,2009-01-01 15:00:29,G,C
246,2009-01-01 15:01:47,X,F
247,2009-01-01 15:03:31,D,A
248,2009-01-01 15:04:16,H,Q
249,2009-01-01 15:04:44,S,X
250,2009-01-01 15:04:48,D,S
251,2009-01-01 15:06:15,P,L
252,2009-01-01 15:09:15,B,T
253,2009-01-01 15:09:33,N,H
254,2009-01-01 15:11:10,P,D
255,2009-01-01 15:12:31,H,Y
256,2009-01-01 15:17:27,J,Q
257,2009-01-01 15:18:45,E,J
258,2009-01-01 15:19:23,G,K
259,2009-01-01 15:26:38,G,J
260,2009-01-01 15:28:19,T,C
261,2009-01-01 15:28:39,M,U
262,2009-01-01 15:31:42,U,M
263,2009-01-01 15:35:34,Q,Y
264,2009-01-01 15:35:35,X,V
265,2009-01-01 15:37:50,G,S
266,2009-01-01 15:38:11,H,K
267,2009-01-01 15:39:06,N,F
268,2009-01-01 15:39:52,I,J
269,2009-01-01 15:40:47,O,W
270,2009-01-01 15:41:26,L,R
271,2009-01-01 15:47:34,G,N
272,2009-01-01 15:49:11,E,G
273,2009-01-01 15:52:34,D,L
274,2009-01-01 15:53:05,L,D
275,2009-01-01 15:53:08,J,H
276,2009-01-01 15:53:33,X,Q
277,2009-01-01 15:54:02,G,I
278,2009-01-01 15:54:58,R,Q
279,2009-01-01 15:56:54,S,W
280,2009-01-01 15:56:58,E,J
281,2009-01-01 15:57:17,J,Y
282,2009-01-01 15:58:26,U,B
283,2009-01-01 15:58:50,K,E
284,2009-01-01 16:02:03,A,Q
285,2009-01-01 16:05:41,U,C
286,2009-01-01 16:06:26,E,S
287,2009-01-01 16:08:04,X,Y
288,2009-01-01 16:10:33,P,D
289,2009-01-01 16:11:01,B,P
290,2009-01-01 16:11:26,X,V
291,2009-01-01 16:11:29,M,F
292,2009-01-01 16:11:32,J,N
293,2009-01-01 16:11:37,S,B
294,2009-01-01 16:12:34,C,B
295,2009-01-01 16:13:14,O,F
296,2009-01-01 16:13:29,O,R
297,2009-01-01 16:14:40,F,C
298,2009-01-01 16:15:10,W,E
299,2009-01-01 16:17:59,I,D
300,2009-01-01 16:18:01,C,P
301,2009-01-01 16:23:56,G,Y
302,2009-01-01 16:25:01,C,R
303,2009-01-01 16:25:43,N,R
304,2009-01-01 16:26:22,S,V
305,2009-01-01 16:27:52,A,C
306,2009-01-01 16:34:06,R,P
307,2009-01-01 16:38:21,I,O
308,2009-01-01 16:39:17,Q,A
309,2009-01-01 16:40:55,E,V
