Passenger,Origin,Dest,Entry Time,Waiting Time,Boarding Time,Promise Board,Travel Time,Alighting Time,Promise Alight,Bus Selected,Bus Route Passengers,Bus Route Locations,Alight Difference,Board Difference
2,K,P,2009-01-01 09:00:29,00:06:00,2009-01-01 09:06:29,2009-01-01 09:36:29,00:06:00,2009-01-01 09:12:29,2009-01-01 09:42:29,6,"[-1, 2, 2]","['P', 'K', 'P']",00:30:00,00:30:00
8,E,J,2009-01-01 09:07:34,00:06:00,2009-01-01 09:13:34,2009-01-01 09:43:34,00:06:00,2009-01-01 09:19:34,2009-01-01 09:49:34,0,"[-1, 1, 8, 8, -1, -1, 1]","['D', 'E', 'E', 'J', 'N', 'S', 'Y']",00:30:00,00:30:00
3,E,G,2009-01-01 09:00:50,00:04:34,2009-01-01 09:05:24,2009-01-01 09:30:50,00:18:00,2009-01-01 09:23:24,2009-01-01 09:48:50,1,"[3, 4, 6, -1, -1, 3, 4, 6]","['E', 'E', 'E', 'D', 'C', 'G', 'G', 'A']",00:25:26,00:25:26
4,E,G,2009-01-01 09:02:40,00:02:44,2009-01-01 09:05:24,2009-01-01 09:32:40,00:18:00,2009-01-01 09:23:24,2009-01-01 09:50:40,1,"[3, 4, 6, -1, -1, 3, 4, 6]","['E', 'E', 'E', 'D', 'C', 'G', 'G', 'A']",00:27:16,00:27:16
6,E,A,2009-01-01 09:05:24,00:00:00,2009-01-01 09:05:24,2009-01-01 09:35:24,00:24:00,2009-01-01 09:29:24,2009-01-01 09:59:24,1,"[3, 4, 6, -1, -1, 3, 4, 6]","['E', 'E', 'E', 'D', 'C', 'G', 'G', 'A']",00:30:00,00:30:00
10,N,O,2009-01-01 09:10:55,00:13:26,2009-01-01 09:24:21,2009-01-01 09:52:55,00:06:00,2009-01-01 09:30:21,2009-01-01 09:58:55,3,"[-1, 10, 10, -1, 19, -1, -1, -1, 19]","['R', 'N', 'O', 'S', 'Y', 'S', 'M', 'G', 'K']",00:28:34,00:28:34
17,M,T,2009-01-01 09:16:33,00:06:00,2009-01-01 09:22:33,2009-01-01 09:52:33,00:12:00,2009-01-01 09:34:33,2009-01-01 10:04:33,8,"[-1, 17, 14, 17, -1, 14]","['Q', 'M', 'N', 'T', 'S', 'W']",00:30:00,00:30:00
13,G,R,2009-01-01 09:14:40,00:06:16,2009-01-01 09:20:56,2009-01-01 09:50:40,00:18:00,2009-01-01 09:38:56,2009-01-01 10:02:40,5,"[7, 13, 21, -1, 13, 7, -1, 21]","['A', 'G', 'F', 'L', 'R', 'W', 'R', 'N']",00:23:44,00:29:44
12,G,W,2009-01-01 09:11:44,00:14:42,2009-01-01 09:26:26,2009-01-01 09:47:44,00:18:00,2009-01-01 09:44:26,2009-01-01 10:05:44,7,"[12, 18, -1, -1, -1, 24, 12, -1, 18, -1, -1, -1, 24]","['G', 'B', 'F', 'K', 'Q', 'W', 'W', 'S', 'Y', 'S', 'M', 'G', 'A']",00:21:18,00:21:18
26,J,H,2009-01-01 09:26:39,00:06:00,2009-01-01 09:32:39,2009-01-01 10:02:39,00:12:00,2009-01-01 09:44:39,2009-01-01 10:14:39,0,"[1, 26, -1, 26, -1, -1, 1]","['E', 'J', 'D', 'H', 'M', 'S', 'Y']",00:30:00,00:30:00
