Passenger,Origin,Dest,Entry Time,Waiting Time,Boarding Time,Promise Board,Travel Time,Alighting Time,Promise Alight,Bus Selected,Bus Route Passengers,Bus Route Locations,Alight Difference,Board Difference
2,M,S,2009-01-01 09:01:12,00:06:00,2009-01-01 09:07:12,2009-01-01 09:37:12,00:06:00,2009-01-01 09:13:12,2009-01-01 09:43:12,0,"[-1, 2, 2]","['S', 'M', 'S']",00:30:00,00:30:00
8,J,D,2009-01-01 09:07:15,00:00:00,2009-01-01 09:07:15,2009-01-01 09:37:15,00:06:00,2009-01-01 09:13:15,2009-01-01 09:43:15,3,"[8, 6, 8, 6]","['J', 'D', 'D', 'H']",00:30:00,00:30:00
3,B,A,2009-01-01 09:02:21,00:06:39,2009-01-01 09:09:00,2009-01-01 09:38:21,00:06:00,2009-01-01 09:15:00,2009-01-01 09:44:21,9,"[-1, 3, 4, 3, -1, -1, -1, 4]","['G', 'B', 'A', 'A', 'F', 'L', 'R', 'X']",00:29:21,00:29:21
6,D,H,2009-01-01 09:06:55,00:06:20,2009-01-01 09:13:15,2009-01-01 09:42:55,00:06:00,2009-01-01 09:19:15,2009-01-01 09:48:55,3,"[8, 6, 8, 6]","['J', 'D', 'D', 'H']",00:29:40,00:29:40
17,A,B,2009-01-01 09:16:37,00:00:00,2009-01-01 09:16:37,2009-01-01 09:46:37,00:06:00,2009-01-01 09:22:37,2009-01-01 09:52:37,9,"[4, 17, 17, -1, -1, -1, 4]","['A', 'A', 'B', 'F', 'L', 'R', 'X']",00:30:00,00:30:00
13,U,P,2009-01-01 09:10:56,00:06:00,2009-01-01 09:16:56,2009-01-01 09:46:56,00:06:00,2009-01-01 09:22:56,2009-01-01 09:52:56,6,"[-1, 13, 13, 10, -1, -1, 10]","['V', 'U', 'P', 'K', 'G', 'C', 'D']",00:30:00,00:30:00
11,X,R,2009-01-01 09:09:54,00:07:40,2009-01-01 09:17:34,2009-01-01 09:45:54,00:06:00,2009-01-01 09:23:34,2009-01-01 09:51:54,7,"[11, 11, 18, -1, -1, -1, 18]","['X', 'R', 'V', 'P', 'K', 'F', 'A']",00:28:20,00:28:20
1,F,X,2009-01-01 09:00:27,00:06:00,2009-01-01 09:06:27,2009-01-01 09:36:27,00:18:00,2009-01-01 09:24:27,2009-01-01 09:54:27,5,"[-1, 1, -1, -1, 1]","['B', 'F', 'L', 'R', 'X']",00:30:00,00:30:00
15,J,I,2009-01-01 09:14:24,00:06:00,2009-01-01 09:20:24,2009-01-01 09:50:24,00:06:00,2009-01-01 09:26:24,2009-01-01 09:56:24,1,"[5, 15, 15, -1, -1, 5]","['D', 'J', 'I', 'M', 'R', 'X']",00:30:00,00:30:00
7,K,U,2009-01-01 09:06:56,00:12:00,2009-01-01 09:18:56,2009-01-01 09:48:56,00:12:00,2009-01-01 09:30:56,2009-01-01 10:00:56,2,"[-1, -1, 7, -1, 7]","['R', 'L', 'K', 'P', 'U']",00:30:00,00:30:00
22,A,K,2009-01-01 09:26:02,00:00:00,2009-01-01 09:26:02,2009-01-01 09:56:02,00:12:00,2009-01-01 09:38:02,2009-01-01 10:08:02,9,"[4, 22, -1, 22, -1, -1, 4]","['A', 'A', 'F', 'K', 'L', 'R', 'X']",00:30:00,00:30:00
25,O,H,2009-01-01 09:26:36,00:00:00,2009-01-01 09:26:36,2009-01-01 09:56:36,00:12:00,2009-01-01 09:38:36,2009-01-01 10:08:36,0,"[16, 25, -1, 25, -1, 14, 16, -1, -1, -1, 14]","['O', 'O', 'I', 'H', 'L', 'P', 'P', 'L', 'H', 'I', 'O']",00:30:00,00:30:00
20,B,F,2009-01-01 09:19:46,00:13:14,2009-01-01 09:33:00,2009-01-01 09:55:46,00:06:00,2009-01-01 09:39:00,2009-01-01 10:01:46,3,"[20, 31, 20, 31, -1, -1, -1, 29, -1, -1, 29]","['B', 'B', 'F', 'K', 'G', 'C', 'D', 'J', 'D', 'C', 'G']",00:22:46,00:22:46
21,X,M,2009-01-01 09:21:39,00:06:00,2009-01-01 09:27:39,2009-01-01 09:57:39,00:12:00,2009-01-01 09:39:39,2009-01-01 10:09:39,8,"[12, 21, -1, 21, -1, 12]","['Y', 'X', 'R', 'M', 'G', 'F']",00:30:00,00:30:00
27,D,C,2009-01-01 09:30:25,00:04:31,2009-01-01 09:34:56,2009-01-01 10:00:25,00:06:00,2009-01-01 09:40:56,2009-01-01 10:06:25,1,"[5, 27, 27, -1, 34, -1, 5, 34]","['D', 'D', 'C', 'G', 'L', 'R', 'X', 'X']",00:25:29,00:25:29
37,U,Q,2009-01-01 09:37:12,00:00:00,2009-01-01 09:37:12,2009-01-01 10:07:12,00:06:00,2009-01-01 09:43:12,2009-01-01 10:13:12,2,"[37, 37, 30, 32, 30, 33, -1, 32, -1, 33]","['U', 'Q', 'M', 'N', 'N', 'J', 'D', 'C', 'G', 'L']",00:30:00,00:30:00
9,B,T,2009-01-01 09:09:01,00:27:11,2009-01-01 09:36:12,2009-01-01 09:51:01,00:12:00,2009-01-01 09:48:12,2009-01-01 10:09:01,4,"[19, 9, 36, -1, 9, 24, 19, 36, -1, -1, -1, 24]","['H', 'B', 'H', 'N', 'T', 'X', 'Y', 'Y', 'S', 'M', 'H', 'D']",00:20:49,00:14:49
16,O,P,2009-01-01 09:14:41,00:11:55,2009-01-01 09:26:36,2009-01-01 09:50:41,00:24:00,2009-01-01 09:50:36,2009-01-01 10:14:41,0,"[16, 25, -1, 25, -1, 14, 16, -1, -1, -1, 14]","['O', 'O', 'I', 'H', 'L', 'P', 'P', 'L', 'H', 'I', 'O']",00:24:05,00:24:05
40,V,W,2009-01-01 09:39:50,00:05:23,2009-01-01 09:45:13,2009-01-01 10:09:50,00:06:00,2009-01-01 09:51:13,2009-01-01 10:15:50,7,"[18, 40, 40, -1, 39, 42, 39, 45, 18, -1, 42, -1, 45]","['V', 'V', 'W', 'Q', 'M', 'L', 'G', 'A', 'A', 'G', 'M', 'H', 'D']",00:24:37,00:24:37
4,A,X,2009-01-01 09:03:00,00:23:02,2009-01-01 09:26:02,2009-01-01 09:45:00,00:30:00,2009-01-01 09:56:02,2009-01-01 10:09:00,9,"[4, 22, -1, 22, -1, -1, 4]","['A', 'A', 'F', 'K', 'L', 'R', 'X']",00:12:58,00:18:58
31,B,K,2009-01-01 09:33:00,00:13:35,2009-01-01 09:46:35,2009-01-01 10:03:00,00:12:00,2009-01-01 09:58:35,2009-01-01 10:15:00,3,"[31, -1, 48, 31, -1, 38, 48, -1, 29, 38, -1, -1, 29]","['B', 'F', 'K', 'K', 'G', 'C', 'H', 'D', 'J', 'J', 'D', 'C', 'G']",00:16:25,00:16:25
19,H,Y,2009-01-01 09:19:15,00:16:57,2009-01-01 09:36:12,2009-01-01 09:49:15,00:24:00,2009-01-01 10:00:12,2009-01-01 10:19:15,4,"[19, 9, 36, -1, 9, 24, 19, 36, -1, -1, -1, 24]","['H', 'B', 'H', 'N', 'T', 'X', 'Y', 'Y', 'S', 'M', 'H', 'D']",00:19:03,00:13:03
36,H,Y,2009-01-01 09:36:12,00:00:00,2009-01-01 09:36:12,2009-01-01 10:06:12,00:24:00,2009-01-01 10:00:12,2009-01-01 10:30:12,4,"[19, 9, 36, -1, 9, 24, 19, 36, -1, -1, -1, 24]","['H', 'B', 'H', 'N', 'T', 'X', 'Y', 'Y', 'S', 'M', 'H', 'D']",00:30:00,00:30:00
5,D,X,2009-01-01 09:06:49,00:28:07,2009-01-01 09:34:56,2009-01-01 09:42:49,00:30:00,2009-01-01 10:04:56,2009-01-01 10:06:49,1,"[5, 27, 27, -1, 34, -1, 5, 34]","['D', 'D', 'C', 'G', 'L', 'R', 'X', 'X']",00:01:53,00:07:53
34,L,X,2009-01-01 09:34:56,00:18:00,2009-01-01 09:52:56,2009-01-01 10:22:56,00:12:00,2009-01-01 10:04:56,2009-01-01 10:34:56,1,"[5, 27, 27, -1, 34, -1, 5, 34]","['D', 'D', 'C', 'G', 'L', 'R', 'X', 'X']",00:30:00,00:30:00
26,M,D,2009-01-01 09:29:31,00:18:09,2009-01-01 09:47:40,2009-01-01 10:11:31,00:18:00,2009-01-01 10:05:40,2009-01-01 10:23:31,6,"[10, 28, 26, -1, 46, 26, 10, 49, -1, 50, 28, 49, 46, -1, -1, 50]","['K', 'G', 'M', 'H', 'D', 'D', 'D', 'E', 'I', 'O', 'O', 'S', 'Y', 'S', 'M', 'G']",00:17:51,00:23:51
10,K,D,2009-01-01 09:09:23,00:38:17,2009-01-01 09:47:40,2009-01-01 09:51:23,00:18:00,2009-01-01 10:05:40,2009-01-01 10:09:23,6,"[10, 28, 26, -1, 46, 26, 10, 49, -1, 50, 28, 49, 46, -1, -1, 50]","['K', 'G', 'M', 'H', 'D', 'D', 'D', 'E', 'I', 'O', 'O', 'S', 'Y', 'S', 'M', 'G']",00:03:43,00:03:43
30,M,N,2009-01-01 09:31:31,00:22:21,2009-01-01 09:53:52,2009-01-01 10:13:31,00:12:00,2009-01-01 10:05:52,2009-01-01 10:19:31,2,"[30, 43, 32, 30, 33, 58, 32, -1, 33, 44, 43, -1, 58, -1, -1, -1, 44]","['M', 'H', 'N', 'N', 'J', 'D', 'C', 'G', 'L', 'P', 'U', 'Q', 'W', 'Q', 'K', 'F', 'B']",00:13:39,00:19:39
12,Y,F,2009-01-01 09:10:18,00:29:45,2009-01-01 09:40:03,2009-01-01 09:46:18,00:30:00,2009-01-01 10:10:03,2009-01-01 10:10:18,8,"[12, -1, -1, -1, 41, 12, -1, -1, 41]","['Y', 'S', 'M', 'G', 'K', 'F', 'K', 'Q', 'W']",00:00:15,00:06:15
47,Y,W,2009-01-01 09:46:16,00:06:34,2009-01-01 09:52:50,2009-01-01 10:16:16,00:18:00,2009-01-01 10:10:50,2009-01-01 10:28:16,5,"[23, 47, 52, 57, 56, 47, 23, 35, 51, -1, 35, -1, 52, 56, 53, -1, 53, 51, -1, 57]","['Y', 'Y', 'S', 'S', 'X', 'W', 'V', 'U', 'U', 'Q', 'W', 'S', 'O', 'O', 'J', 'I', 'M', 'M', 'G', 'A']",00:17:26,00:23:26
39,M,G,2009-01-01 09:39:08,00:24:05,2009-01-01 10:03:13,2009-01-01 10:21:08,00:12:00,2009-01-01 10:15:13,2009-01-01 10:27:08,7,"[18, 40, 40, -1, 39, 42, 39, 45, 18, -1, 42, -1, 45]","['V', 'V', 'W', 'Q', 'M', 'L', 'G', 'A', 'A', 'G', 'M', 'H', 'D']",00:11:55,00:17:55
48,K,H,2009-01-01 09:46:35,00:12:00,2009-01-01 09:58:35,2009-01-01 10:28:35,00:18:00,2009-01-01 10:16:35,2009-01-01 10:46:35,3,"[31, -1, 48, 31, -1, 38, 48, -1, 29, 38, -1, -1, 29]","['B', 'F', 'K', 'K', 'G', 'C', 'H', 'D', 'J', 'J', 'D', 'C', 'G']",00:30:00,00:30:00
23,Y,V,2009-01-01 09:26:04,00:26:46,2009-01-01 09:52:50,2009-01-01 10:02:04,00:24:00,2009-01-01 10:16:50,2009-01-01 10:20:04,5,"[23, 47, 52, 57, 56, 47, 23, 35, 51, -1, 35, -1, 52, 56, 53, -1, 53, 51, -1, 57]","['Y', 'Y', 'S', 'S', 'X', 'W', 'V', 'U', 'U', 'Q', 'W', 'S', 'O', 'O', 'J', 'I', 'M', 'M', 'G', 'A']",00:03:14,00:09:14
83,X,Y,2009-01-01 10:11:15,00:00:00,2009-01-01 10:11:15,2009-01-01 10:41:15,00:06:00,2009-01-01 10:17:15,2009-01-01 10:47:15,1,"[83, 83, -1, 78, 76, 75, 76, -1, -1, 82, 78, 75, 82]","['X', 'Y', 'S', 'M', 'Q', 'K', 'P', 'L', 'H', 'I', 'I', 'J', 'E']",00:30:00,00:30:00
18,V,A,2009-01-01 09:17:34,00:27:39,2009-01-01 09:45:13,2009-01-01 09:59:34,00:36:00,2009-01-01 10:21:13,2009-01-01 10:23:34,7,"[18, 40, 40, -1, 39, 42, 39, 45, 18, -1, 42, -1, 45]","['V', 'V', 'W', 'Q', 'M', 'L', 'G', 'A', 'A', 'G', 'M', 'H', 'D']",00:02:21,00:14:21
28,G,O,2009-01-01 09:30:27,00:17:13,2009-01-01 09:47:40,2009-01-01 10:06:27,00:36:00,2009-01-01 10:23:40,2009-01-01 10:36:27,6,"[10, 28, 26, -1, 46, 26, 10, 49, -1, 50, 28, 49, 46, -1, -1, 50]","['K', 'G', 'M', 'H', 'D', 'D', 'D', 'E', 'I', 'O', 'O', 'S', 'Y', 'S', 'M', 'G']",00:12:47,00:18:47
14,P,O,2009-01-01 09:14:05,00:40:29,2009-01-01 09:54:34,2009-01-01 10:02:05,00:30:00,2009-01-01 10:24:34,2009-01-01 10:26:05,0,"[14, 54, -1, 55, -1, 59, 14, 60, 55, -1, 54, -1, -1, -1, 59, 60]","['P', 'P', 'K', 'G', 'C', 'I', 'O', 'T', 'N', 'I', 'E', 'D', 'C', 'B', 'F', 'A']",00:01:31,00:07:31
38,C,J,2009-01-01 09:39:07,00:31:28,2009-01-01 10:10:35,2009-01-01 10:33:07,00:18:00,2009-01-01 10:28:35,2009-01-01 10:45:07,3,"[31, -1, 48, 31, -1, 38, 48, -1, 29, 38, -1, -1, 29]","['B', 'F', 'K', 'K', 'G', 'C', 'H', 'D', 'J', 'J', 'D', 'C', 'G']",00:16:32,00:22:32
69,R,N,2009-01-01 10:01:33,00:22:35,2009-01-01 10:24:08,2009-01-01 10:37:33,00:06:00,2009-01-01 10:30:08,2009-01-01 10:43:33,4,"[24, 71, 74, 69, 69, 70, 24, 74, 68, 71, -1, -1, 70, 68]","['X', 'T', 'S', 'R', 'N', 'J', 'D', 'D', 'C', 'C', 'G', 'K', 'Q', 'P']",00:13:25,00:13:25
42,L,M,2009-01-01 09:40:36,00:43:33,2009-01-01 10:24:09,2009-01-01 10:34:36,00:06:00,2009-01-01 10:30:09,2009-01-01 10:58:36,7,"[42, -1, 45, -1, 42, -1, 98, 45, -1, -1, 99, 98, -1, -1, -1, 99]","['L', 'F', 'A', 'G', 'M', 'I', 'E', 'D', 'H', 'L', 'P', 'U', 'Q', 'M', 'S', 'Y']",00:28:27,00:10:27
32,N,C,2009-01-01 09:34:44,00:44:53,2009-01-01 10:19:37,2009-01-01 10:22:44,00:12:00,2009-01-01 10:31:37,2009-01-01 10:34:44,2,"[43, 32, 33, 58, 32, -1, 86, 95, 33, 44, 85, 84, 43, 94, 58, 85, -1, 94, 95, 84, 44, 86]","['H', 'N', 'J', 'D', 'C', 'G', 'L', 'L', 'L', 'P', 'P', 'U', 'U', 'V', 'W', 'R', 'M', 'I', 'I', 'C', 'B', 'A']",00:03:07,00:03:07
35,U,W,2009-01-01 09:35:11,00:47:39,2009-01-01 10:22:50,2009-01-01 10:29:11,00:12:00,2009-01-01 10:34:50,2009-01-01 10:41:11,5,"[23, 47, 52, 57, 56, 47, 23, 35, 51, -1, 35, -1, 52, 56, 53, -1, 53, 51, -1, 57]","['Y', 'Y', 'S', 'S', 'X', 'W', 'V', 'U', 'U', 'Q', 'W', 'S', 'O', 'O', 'J', 'I', 'M', 'M', 'G', 'A']",00:06:21,00:06:21
67,P,L,2009-01-01 10:00:27,00:28:23,2009-01-01 10:28:50,2009-01-01 10:48:27,00:06:00,2009-01-01 10:34:50,2009-01-01 10:54:27,9,"[63, 64, 73, 67, 77, 67, 65, -1, 77, 63, 64, -1, 65, -1, 89, 73, -1, -1, 89]","['W', 'V', 'V', 'P', 'L', 'L', 'H', 'B', 'A', 'A', 'F', 'K', 'Q', 'R', 'X', 'T', 'N', 'H', 'B']",00:19:37,00:19:37
104,J,I,2009-01-01 10:28:52,00:00:00,2009-01-01 10:28:52,2009-01-01 10:58:52,00:06:00,2009-01-01 10:34:52,2009-01-01 11:04:52,3,"[29, 104, 104, -1, 29]","['J', 'J', 'I', 'C', 'G']",00:30:00,00:30:00
55,G,N,2009-01-01 09:52:30,00:14:04,2009-01-01 10:06:34,2009-01-01 10:34:30,00:30:00,2009-01-01 10:36:34,2009-01-01 10:46:30,0,"[14, 54, -1, 55, -1, 59, 14, 60, 55, -1, 54, -1, -1, -1, 59, 60]","['P', 'P', 'K', 'G', 'C', 'I', 'O', 'T', 'N', 'I', 'E', 'D', 'C', 'B', 'F', 'A']",00:09:56,00:27:56
24,X,D,2009-01-01 09:26:17,00:39:51,2009-01-01 10:06:08,2009-01-01 10:14:17,00:36:00,2009-01-01 10:42:08,2009-01-01 10:44:17,4,"[24, 71, 74, 69, 69, 70, 24, 74, 68, 71, -1, -1, 70, 68]","['X', 'T', 'S', 'R', 'N', 'J', 'D', 'D', 'C', 'C', 'G', 'K', 'Q', 'P']",00:02:09,00:08:09
74,S,D,2009-01-01 10:06:08,00:12:00,2009-01-01 10:18:08,2009-01-01 10:48:08,00:24:00,2009-01-01 10:42:08,2009-01-01 11:12:08,4,"[24, 71, 74, 69, 69, 70, 24, 74, 68, 71, -1, -1, 70, 68]","['X', 'T', 'S', 'R', 'N', 'J', 'D', 'D', 'C', 'C', 'G', 'K', 'Q', 'P']",00:30:00,00:30:00
33,J,L,2009-01-01 09:34:46,00:44:51,2009-01-01 10:19:37,2009-01-01 10:28:46,00:24:00,2009-01-01 10:43:37,2009-01-01 10:52:46,2,"[43, 32, 33, 58, 32, -1, 86, 95, 33, 44, 85, 84, 43, 94, 58, 85, -1, 94, 95, 84, 44, 86]","['H', 'N', 'J', 'D', 'C', 'G', 'L', 'L', 'L', 'P', 'P', 'U', 'U', 'V', 'W', 'R', 'M', 'I', 'I', 'C', 'B', 'A']",00:09:09,00:09:09
49,E,S,2009-01-01 09:46:44,00:40:27,2009-01-01 10:27:11,2009-01-01 10:40:44,00:18:00,2009-01-01 10:45:11,2009-01-01 10:58:44,6,"[46, 49, -1, 50, 49, 46, -1, -1, 50, 101, -1, -1, -1, 101]","['D', 'E', 'I', 'O', 'S', 'Y', 'S', 'M', 'G', 'F', 'G', 'M', 'S', 'Y']",00:13:33,00:13:33
52,S,O,2009-01-01 09:50:34,00:08:16,2009-01-01 09:58:50,2009-01-01 10:26:34,00:48:00,2009-01-01 10:46:50,2009-01-01 11:08:34,5,"[23, 47, 52, 57, 56, 47, 23, 35, 51, -1, 35, -1, 52, 56, 53, -1, 53, 51, -1, 57]","['Y', 'Y', 'S', 'S', 'X', 'W', 'V', 'U', 'U', 'Q', 'W', 'S', 'O', 'O', 'J', 'I', 'M', 'M', 'G', 'A']",00:21:44,00:27:44
56,X,O,2009-01-01 09:52:32,00:12:18,2009-01-01 10:04:50,2009-01-01 10:34:32,00:42:00,2009-01-01 10:46:50,2009-01-01 11:16:32,5,"[23, 47, 52, 57, 56, 47, 23, 35, 51, -1, 35, -1, 52, 56, 53, -1, 53, 51, -1, 57]","['Y', 'Y', 'S', 'S', 'X', 'W', 'V', 'U', 'U', 'Q', 'W', 'S', 'O', 'O', 'J', 'I', 'M', 'M', 'G', 'A']",00:29:42,00:29:42
29,J,G,2009-01-01 09:30:46,00:58:06,2009-01-01 10:28:52,2009-01-01 10:30:46,00:18:00,2009-01-01 10:46:52,2009-01-01 10:48:46,3,"[29, 104, 104, -1, 29]","['J', 'J', 'I', 'C', 'G']",00:01:54,00:01:54
71,T,C,2009-01-01 10:03:05,00:09:03,2009-01-01 10:12:08,2009-01-01 11:21:05,00:36:00,2009-01-01 10:48:08,2009-01-01 12:03:05,4,"[24, 71, 74, 69, 69, 70, 24, 74, 68, 71, -1, -1, 70, 68]","['X', 'T', 'S', 'R', 'N', 'J', 'D', 'D', 'C', 'C', 'G', 'K', 'Q', 'P']",01:14:57,01:08:57
76,Q,P,2009-01-01 10:08:24,00:27:56,2009-01-01 10:36:20,2009-01-01 10:50:24,00:12:00,2009-01-01 10:48:20,2009-01-01 11:02:24,1,"[-1, -1, 78, 90, 76, 75, 76, -1, -1, 82, 78, 91, 82, 75, 90, -1, -1, 91]","['Y', 'S', 'M', 'M', 'Q', 'K', 'P', 'L', 'H', 'I', 'I', 'E', 'E', 'J', 'O', 'N', 'R', 'V']",00:14:04,00:14:04
54,P,E,2009-01-01 09:51:09,00:03:25,2009-01-01 09:54:34,2009-01-01 10:21:09,00:54:00,2009-01-01 10:48:34,2009-01-01 10:57:09,0,"[14, 54, -1, 55, -1, 59, 14, 60, 55, -1, 54, -1, -1, -1, 59, 60]","['P', 'P', 'K', 'G', 'C', 'I', 'O', 'T', 'N', 'I', 'E', 'D', 'C', 'B', 'F', 'A']",00:08:35,00:26:35
46,D,Y,2009-01-01 09:45:16,00:41:55,2009-01-01 10:27:11,2009-01-01 10:33:16,00:24:00,2009-01-01 10:51:11,2009-01-01 10:57:16,6,"[46, 49, -1, 50, 49, 46, -1, -1, 50, 101, -1, -1, -1, 101]","['D', 'E', 'I', 'O', 'S', 'Y', 'S', 'M', 'G', 'F', 'G', 'M', 'S', 'Y']",00:06:05,00:06:05
123,G,B,2009-01-01 10:45:29,00:01:08,2009-01-01 10:46:37,2009-01-01 11:15:29,00:06:00,2009-01-01 10:52:37,2009-01-01 11:21:29,7,"[45, -1, -1, -1, 98, -1, -1, 123, 123, -1, 45, -1, -1, 99, 126, 98, -1, 126, -1, -1, 99]","['A', 'B', 'C', 'D', 'E', 'D', 'C', 'G', 'B', 'C', 'D', 'H', 'L', 'P', 'Q', 'U', 'P', 'L', 'M', 'S', 'Y']",00:28:52,00:28:52
63,W,A,2009-01-01 09:59:05,00:17:45,2009-01-01 10:16:50,2009-01-01 10:35:05,00:36:00,2009-01-01 10:52:50,2009-01-01 10:59:05,9,"[63, 64, 73, 67, 77, 67, 65, -1, 77, 63, 64, -1, 65, -1, 89, 73, -1, -1, 89]","['W', 'V', 'V', 'P', 'L', 'L', 'H', 'B', 'A', 'A', 'F', 'K', 'Q', 'R', 'X', 'T', 'N', 'H', 'B']",00:06:15,00:18:15
77,L,A,2009-01-01 10:09:10,00:25:40,2009-01-01 10:34:50,2009-01-01 11:03:10,00:18:00,2009-01-01 10:52:50,2009-01-01 11:21:10,9,"[63, 64, 73, 67, 77, 67, 65, -1, 77, 63, 64, -1, 65, -1, 89, 73, -1, -1, 89]","['W', 'V', 'V', 'P', 'L', 'L', 'H', 'B', 'A', 'A', 'F', 'K', 'Q', 'R', 'X', 'T', 'N', 'H', 'B']",00:28:20,00:28:20
41,K,W,2009-01-01 09:40:03,00:38:49,2009-01-01 10:18:52,2009-01-01 10:34:03,00:36:00,2009-01-01 10:54:52,2009-01-01 10:58:03,8,"[41, 93, 79, -1, -1, 80, 41, 79, -1, -1, 80, -1, 92, 93, -1, -1, 92]","['K', 'G', 'A', 'F', 'L', 'R', 'W', 'V', 'P', 'K', 'G', 'C', 'D', 'E', 'D', 'C', 'B']",00:03:11,00:15:11
43,H,U,2009-01-01 09:43:32,00:36:05,2009-01-01 10:19:37,2009-01-01 10:43:32,00:36:00,2009-01-01 10:55:37,2009-01-01 11:13:32,2,"[43, 32, 33, 58, 32, -1, 86, 95, 33, 44, 85, 84, 43, 94, 58, 85, -1, 94, 95, 84, 44, 86]","['H', 'N', 'J', 'D', 'C', 'G', 'L', 'L', 'L', 'P', 'P', 'U', 'U', 'V', 'W', 'R', 'M', 'I', 'I', 'C', 'B', 'A']",00:17:55,00:23:55
64,V,F,2009-01-01 09:59:23,00:23:27,2009-01-01 10:22:50,2009-01-01 10:41:23,00:36:00,2009-01-01 10:58:50,2009-01-01 10:59:23,9,"[63, 64, 73, 67, 77, 67, 65, -1, 77, 63, 64, -1, 65, -1, 89, 73, -1, -1, 89]","['W', 'V', 'V', 'P', 'L', 'L', 'H', 'B', 'A', 'A', 'F', 'K', 'Q', 'R', 'X', 'T', 'N', 'H', 'B']",00:00:33,00:18:33
79,A,V,2009-01-01 10:10:35,00:20:17,2009-01-01 10:30:52,2009-01-01 10:52:35,00:30:00,2009-01-01 11:00:52,2009-01-01 11:22:35,8,"[41, 93, 79, -1, -1, 80, 41, 79, -1, -1, 80, -1, 92, 93, -1, -1, 92]","['K', 'G', 'A', 'F', 'L', 'R', 'W', 'V', 'P', 'K', 'G', 'C', 'D', 'E', 'D', 'C', 'B']",00:21:43,00:21:43
45,A,D,2009-01-01 09:45:13,01:01:24,2009-01-01 10:46:37,2009-01-01 10:51:13,00:18:00,2009-01-01 11:04:37,2009-01-01 11:15:13,7,"[45, -1, -1, -1, 98, -1, -1, 123, 123, -1, 45, -1, -1, 99, 126, 98, -1, 126, -1, -1, 99]","['A', 'B', 'C', 'D', 'E', 'D', 'C', 'G', 'B', 'C', 'D', 'H', 'L', 'P', 'Q', 'U', 'P', 'L', 'M', 'S', 'Y']",00:10:36,00:04:36
51,U,M,2009-01-01 09:48:11,00:34:39,2009-01-01 10:22:50,2009-01-01 10:42:11,00:42:00,2009-01-01 11:04:50,2009-01-01 11:06:11,5,"[23, 47, 52, 57, 56, 47, 23, 35, 51, -1, 35, -1, 52, 56, 53, -1, 53, 51, -1, 57]","['Y', 'Y', 'S', 'S', 'X', 'W', 'V', 'U', 'U', 'Q', 'W', 'S', 'O', 'O', 'J', 'I', 'M', 'M', 'G', 'A']",00:01:21,00:19:21
53,J,M,2009-01-01 09:50:35,01:02:15,2009-01-01 10:52:50,2009-01-01 11:14:35,00:12:00,2009-01-01 11:04:50,2009-01-01 11:26:35,5,"[23, 47, 52, 57, 56, 47, 23, 35, 51, -1, 35, -1, 52, 56, 53, -1, 53, 51, -1, 57]","['Y', 'Y', 'S', 'S', 'X', 'W', 'V', 'U', 'U', 'Q', 'W', 'S', 'O', 'O', 'J', 'I', 'M', 'M', 'G', 'A']",00:21:45,00:21:45
70,J,Q,2009-01-01 10:02:34,00:33:34,2009-01-01 10:36:08,2009-01-01 10:50:34,00:30:00,2009-01-01 11:06:08,2009-01-01 11:20:34,4,"[24, 71, 74, 69, 69, 70, 24, 74, 68, 71, -1, -1, 70, 68]","['X', 'T', 'S', 'R', 'N', 'J', 'D', 'D', 'C', 'C', 'G', 'K', 'Q', 'P']",00:14:26,00:14:26
78,M,I,2009-01-01 10:10:02,00:45:11,2009-01-01 10:55:13,2009-01-01 11:16:02,00:12:00,2009-01-01 11:07:13,2009-01-01 11:22:02,1,"[78, 90, -1, 75, -1, 136, 82, 133, 78, 91, 132, 82, 75, 131, 90, -1, 133, 91, 136, -1, 132, 131, -1, 137, -1, 137]","['M', 'M', 'G', 'K', 'G', 'H', 'I', 'I', 'I', 'E', 'E', 'E', 'J', 'O', 'O', 'S', 'W', 'V', 'V', 'P', 'L', 'K', 'F', 'A', 'G', 'M']",00:14:49,00:20:49
