Passengers,Entry Time,Passenger Origin,Passenger Destination
1,2009-01-01 09:00:04,Y,P
2,2009-01-01 09:00:16,E,N
3,2009-01-01 09:01:47,B,T
4,2009-01-01 09:02:30,O,B
5,2009-01-01 09:02:45,B,A
6,2009-01-01 09:03:42,C,M
7,2009-01-01 09:04:12,J,K
8,2009-01-01 09:04:53,K,L
9,2009-01-01 09:06:12,T,L
10,2009-01-01 09:06:36,O,A
11,2009-01-01 09:06:58,J,N
12,2009-01-01 09:07:53,Q,D
13,2009-01-01 09:08:06,I,O
14,2009-01-01 09:09:29,Y,O
15,2009-01-01 09:09:32,H,Y
16,2009-01-01 09:10:25,Y,B
17,2009-01-01 09:11:13,Y,P
18,2009-01-01 09:11:22,O,G
19,2009-01-01 09:12:05,U,I
20,2009-01-01 09:13:28,U,L
21,2009-01-01 09:13:43,H,D
22,2009-01-01 09:14:08,W,A
23,2009-01-01 09:14:32,I,X
24,2009-01-01 09:15:18,Y,Q
25,2009-01-01 09:15:25,H,N
26,2009-01-01 09:16:40,R,Y
27,2009-01-01 09:17:13,P,Q
28,2009-01-01 09:18:43,F,P
29,2009-01-01 09:19:03,E,Y
30,2009-01-01 09:19:19,X,B
31,2009-01-01 09:20:20,B,F
32,2009-01-01 09:20:50,F,L
33,2009-01-01 09:21:00,E,B
34,2009-01-01 09:21:32,E,L
35,2009-01-01 09:22:23,H,U
36,2009-01-01 09:22:35,N,M
37,2009-01-01 09:22:41,H,B
38,2009-01-01 09:23:37,W,O
39,2009-01-01 09:23:56,W,I
40,2009-01-01 09:23:57,H,O
41,2009-01-01 09:24:46,V,H
42,2009-01-01 09:25:41,L,R
43,2009-01-01 09:27:07,C,A
44,2009-01-01 09:27:25,V,W
45,2009-01-01 09:30:48,A,M
46,2009-01-01 09:31:08,H,S
47,2009-01-01 09:31:59,A,N
48,2009-01-01 09:32:44,Y,J
49,2009-01-01 09:32:53,W,N
50,2009-01-01 09:32:53,U,J
51,2009-01-01 09:34:46,U,C
52,2009-01-01 09:35:56,B,W
53,2009-01-01 09:37:03,E,P
54,2009-01-01 09:38:43,N,A
55,2009-01-01 09:40:01,N,L
56,2009-01-01 09:41:52,O,U
57,2009-01-01 09:41:58,T,X
58,2009-01-01 09:42:50,Y,F
59,2009-01-01 09:44:43,J,I
60,2009-01-01 09:45:44,W,A
61,2009-01-01 09:46:43,Q,L
62,2009-01-01 09:46:47,J,Y
63,2009-01-01 09:47:08,U,N
64,2009-01-01 09:47:15,V,F
65,2009-01-01 09:47:58,A,T
66,2009-01-01 09:48:38,U,I
67,2009-01-01 09:49:03,W,E
68,2009-01-01 09:50:59,G,V
69,2009-01-01 09:51:33,C,V
70,2009-01-01 09:51:50,C,E
71,2009-01-01 09:52:28,N,S
72,2009-01-01 09:52:39,P,X
73,2009-01-01 09:52:56,Q,N
74,2009-01-01 09:53:48,Y,B
75,2009-01-01 09:56:38,L,G
76,2009-01-01 09:58:48,K,M
77,2009-01-01 09:59:08,N,C
78,2009-01-01 10:00:17,I,B
79,2009-01-01 10:00:22,I,N
80,2009-01-01 10:01:44,C,Y
81,2009-01-01 10:01:51,E,C
82,2009-01-01 10:02:06,K,G
83,2009-01-01 10:02:10,J,S
84,2009-01-01 10:03:32,D,J
85,2009-01-01 10:03:56,M,K
86,2009-01-01 10:04:15,X,T
87,2009-01-01 10:07:05,E,G
88,2009-01-01 10:08:08,M,A
89,2009-01-01 10:09:05,W,D
90,2009-01-01 10:09:41,C,P
91,2009-01-01 10:09:50,T,D
92,2009-01-01 10:10:20,U,I
93,2009-01-01 10:12:15,E,J
94,2009-01-01 10:13:31,K,Y
95,2009-01-01 10:13:53,U,G
96,2009-01-01 10:14:23,C,E
97,2009-01-01 10:14:25,M,P
